area;year;N.mean;N2.mean
Estuary;1992;55;55
Estuary;1993;203,3333333333;201,6666666667
Estuary;1994;776,6666666667;776,6666666667
Estuary;1995;476,6666666667;473,3333333333
Estuary;1996;336,6666666667;336,6666666667
Estuary;1997;216,6666666667;213,3333333333
Estuary;1998;9200;750
Estuary;1999;2076,6666666667;2073,3333333333
Estuary;2000;1923,3333333333;1913,3333333333
Estuary;2001;2613,3333333333;2606,6666666667
Estuary;2002;1946,6666666667;1916,6666666667
Estuary;2003;2296,6666666667;2220
Estuary;2004;3566,6666666667;3330
Estuary;2005;1746,6666666667;1623,3333333333
Estuary;2006;1036,6666666667;993,3333333333
Estuary;2007;2713,3333333333;2546,6666666667
Estuary;2008;1713,3333333333;1683,3333333333
Estuary;2009;1896,6666666667;1860
Estuary;2010;2133,3333333333;2056,6666666667
Estuary;2011;1706,6666666667;1636,6666666667
Estuary;2012;1210;1170
Goreliy;1992;74,375;74,375
Goreliy;1993;222,3076923077;222,3076923077
Goreliy;1994;1202,5;1197,5
Goreliy;1995;947,5;942,5
Goreliy;1996;647,5;647,5
Goreliy;1997;337,5;325
Goreliy;1998;23232,5;1692,5
Goreliy;1999;5077,5;4752,5
Goreliy;2000;3292,5;3242,5
Goreliy;2001;2510;2410
Goreliy;2002;1752,5;1560
Goreliy;2003;2405;2117,5
Goreliy;2004;1772,5;1725
Goreliy;2005;2145;1882,5
Goreliy;2006;1585;1380
Goreliy;2007;1390;1282,5
Goreliy;2008;1497,5;1402,5
Goreliy;2009;1130;1100
Goreliy;2010;1292,5;1015
Goreliy;2011;1935;1475
Goreliy;2012;1317,5;1297,5
razrez2;1992;251,25;251,25
razrez2;1993;379,5;376,5
razrez2;1994;757,8947368421;745,2631578947
razrez2;1995;882,6315789474;879,4736842105
razrez2;1996;762;760,5
razrez2;1997;798;748,5
razrez2;1998;5173,5;2152,5
razrez2;1999;4114,5;3558
razrez2;2000;2502;2480
razrez2;2002;2255;2120
razrez2;2004;3075;2487,5
Lomnishniy;2007;NA;501
Lomnishniy;2008;NA;1530
Lomnishniy;2009;NA;813
Lomnishniy;2010;NA;540
Lomnishniy;2011;NA;378
Lomnishniy;2012;NA;513
YuG;2001;NA;1256,6666666667
YuG;2002;NA;1205,625
YuG;2003;NA;1766
YuG;2004;NA;1917,6923076923
YuG;2005;NA;862
YuG;2006;NA;845
YuG;2007;NA;1426
YuG;2008;NA;1434
YuG;2009;NA;1132
YuG;2010;NA;690
YuG;2011;NA;364
YuG;2012;NA;142
ZRS;1994;450;450
ZRS;1995;490;490
ZRS;1996;260;260
ZRS;1997;220;220
ZRS;1998;780;755
ZRS;1999;9285;8530
ZRS;2000;3045;2910
ZRS;2001;2620;2515
ZRS;2002;2795;2690
ZRS;2003;1935;1930
ZRS;2004;2625;2355
ZRS;2005;2025;1825
ZRS;2006;835;795
ZRS;2007;1060;1055
ZRS;2008;1875;1840
ZRS;2009;1920;1745
ZRS;2010;1725;1680
ZRS;2011;1560;1455
ZRS;2012;960;910
Medvezhya;1987;5,5833333333;NA
Medvezhya;1988;3,0833333333;NA
Medvezhya;1989;4,4166666667;NA
Medvezhya;1990;2,6666666667;NA
Medvezhya;1991;7,1666666667;NA
Medvezhya;1992;4,0833333333;NA
Medvezhya;1993;10,9166666667;NA
Medvezhya;1994;10,6041666667;NA
Medvezhya;1995;22,5875;NA
Medvezhya;1996;12,3583333333;NA
Medvezhya;1997;42,3833333333;NA
Medvezhya;1998;165,0208333333;NA
Medvezhya;1999;50,353125;NA
Medvezhya;2000;14,4645833333;NA
Medvezhya;2001;45,5291666667;NA
Medvezhya;2002;60,4333333333;NA
Medvezhya;2003;49,2104166667;NA
Medvezhya;2004;40,7833333333;NA
Medvezhya;2005;32,8291666667;NA
Medvezhya;2006;16,375;NA
Medvezhya;2007;24,2958333333;NA
Medvezhya;2008;17,91875;NA
Medvezhya;2009;90,8458333333;NA
Medvezhya;2010;25,2479166667;NA
Medvezhya;2011;33,675;NA
Medvezhya;2012;24,0895833333;NA
Medvezhya;2013;18,1520833333;NA
Seldyanaya;1987;3,3333333333;NA
Seldyanaya;1988;5,1111111111;NA
Seldyanaya;1989;3,3333333333;NA
Seldyanaya;1990;5,4166666667;NA
Seldyanaya;1991;6,4166666667;NA
Seldyanaya;1992;9,4166666667;NA
Seldyanaya;1993;15,25;NA
Seldyanaya;1994;2,0833333333;NA
Seldyanaya;1995;4,2;NA
Seldyanaya;1996;36,3625;NA
Seldyanaya;1997;27,5416666667;NA
Seldyanaya;1998;60,9041666667;NA
Seldyanaya;1999;38,8;NA
Seldyanaya;2000;22,61875;NA
Seldyanaya;2001;29,7145833333;NA
Seldyanaya;2002;27,8041666667;NA
Seldyanaya;2003;42,0416666667;NA
Seldyanaya;2004;71,7083333333;NA
Seldyanaya;2005;92,6770833333;NA
Seldyanaya;2006;84,7770833333;NA
Seldyanaya;2007;104,4666666667;NA
Seldyanaya;2008;39,8854166667;NA
Seldyanaya;2009;46,4444444444;NA
Seldyanaya;2010;42,075;NA
Seldyanaya;2011;43,4729166667;NA
Seldyanaya;2012;28,04375;NA
Seldyanaya;2013;10,2375;NA
Suhaya;1979;NA;690,5
Suhaya;1980;NA;576,5
Suhaya;1981;NA;556
Suhaya;1982;NA;158
Suhaya;1983;NA;594,5
Suhaya;1984;NA;1068
Suhaya;1985;NA;NA
Suhaya;1986;NA;NA
Suhaya;1987;NA;21,5
Suhaya;1988;NA;21,5
Suhaya;1989;NA;104
Suhaya;1990;NA;55,5
Suhaya;1991;NA;39
Suhaya;1992;NA;88
Suhaya;1993;NA;104
Suhaya;1994;NA;NA
Suhaya;1995;NA;375
Suhaya;1996;NA;398,5
Suhaya;1997;NA;416
Suhaya;1998;NA;441
Suhaya;1999;NA;769
Suhaya;2000;NA;443
Suhaya;2001;NA;117
Suhaya;2006;NA;1113,5
Suhaya;2008;NA;456,5
Suhaya;2009;NA;657
Suhaya;2012;NA;180
Klyushuha;1982;NA;310
Klyushuha;1983;NA;480
Klyushuha;1984;NA;511
Klyushuha;1987;NA;156
Klyushuha;1989;NA;130,3333333333
Klyushuha;1990;NA;473
Klyushuha;1991;NA;537,6666666667
Klyushuha;1992;NA;678
Klyushuha;1995;NA;507
Klyushuha;1996;NA;952,6666666667
Klyushuha;1997;NA;924,6666666667
Klyushuha;1998;NA;1075,3333333333
Klyushuha;1999;NA;1606,6666666667
Klyushuha;2000;NA;715,3333333333
Klyushuha;2003;NA;738
Klyushuha;2006;NA;647,3333333333
Klyushuha;2008;NA;1063
Klyushuha;2009;NA;898,3333333333
Klyushuha;2010;NA;734,6666666667
Klyushuha;2011;NA;715,3333333333
Klyushuha;2012;NA;392,6666666667
